datahora;satelite;pais;estado;municipio;bioma;diasemchuva;precipitacao;riscofogo;latitude;longitude;frp;latitude1;longitude2
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-160.425;-4.824.005;40,2;-16,0425;-48,24005
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.603.684;-48,21;102,3;-16,03684;-48,21
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.602.726;-482.433;87,8;-16,02726;-48,2433
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.596.979;-4.816.569;40,9;-15,96979;-48,16569
17/09/2021 17:34;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;56;0;1;-1.552.806;-48.092;55,4;-15,52806;-48,092
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.568.904;-4.785.228;25,3;-15,68904;-47,85228
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-155.787;-4.815.354;55,7;-15,5787;-48,15354
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.557.681;-4.813.768;57,8;-15,57681;-48,13768
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.557.677;-4.814.505;85,3;-15,57677;-48,14505
18/09/2021 16:39;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;57;0;1;-1.569.083;-4.786.665;19,8;-15,69083;-47,86665
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.562.304;-4.787.748;54,4;-15,62304;-47,87748
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.561.964;-4.785.822;44,8;-15,61964;-47,85822
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.561.865;-4.786.558;44;-15,61865;-47,86558
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.558.934;-4.806.991;58,8;-15,58934;-48,06991
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-155.796;-4.801.394;35,1;-15,5796;-48,01394
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.826;-478.744;71,9;-15,56826;-47,8744
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;-999;-1.556.483;-4.785.469;27,8;-15,56483;-47,85469
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.404;-4.777.491;29,1;-15,56404;-47,77491
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.556.061;-4.775.505;197,2;-15,56061;-47,75505
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.551.376;-4.808.595;58,3;-15,51376;-48,08595
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.603.577;-4.783.308;54,1;-16,03577;-47,83308
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.593.044;-4.805.713;41,6;-15,93044;-48,05713
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.592.908;-4.806.246;23,5;-15,92908;-48,06246
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.564.851;-4.787.482;92,9;-15,64851;-47,87482
19/09/2021 17:22;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.564.495;-4.785.449;51,4;-15,64495;-47,85449
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.604.554;-478.243;31;-16,04554;-47,8243
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.559.482;-4.792.559;59,5;-15,59482;-47,92559
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.563.375;-4.789.274;177;-15,63375;-47,89274
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.559.227;-4.790.185;40,6;-15,59227;-47,90185
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.559.045;-4.793.097;42,1;-15,59045;-47,93097
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;58;0;1;-1.558.768;-4.790.676;54,2;-15,58768;-47,90676
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.557.596;-4.805.536;54,4;-15,57596;-48,05536
20/09/2021 16:26;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;59;0;1;-1.554.303;-4.788.738;66,5;-15,54303;-47,88738
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.579.082;-4.796.997;47;-15,79082;-47,96997
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;-999;-1.567.754;-4.783.969;38,4;-15,67754;-47,83969
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.555.906;-4.786.433;20,6;-15,55906;-47,86433
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.555.475;-4.790.204;27,8;-15,55475;-47,90204
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.555.282;-4.788.997;20,6;-15,55282;-47,88997
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.555.093;-4.787.811;53,5;-15,55093;-47,87811
21/09/2021 17:09;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;60;0;1;-1.554.471;-4.790.369;72,7;-15,54471;-47,90369
22/09/2021 16:13;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;61;0;1;-1.562.076;-4.793.097;142,4;-15,62076;-47,93097
22/09/2021 16:13;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;61;0;1;-1.562.021;-4.793.906;91,7;-15,62021;-47,93906
22/09/2021 16:13;AQUA_M-T;Brasil;DISTRITO FEDERAL;BRASILIA;Cerrado;61;0;1;-1.561.701;-4.789.218;183,3;-15,61701;-47,89218
